t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1684703280,180,1957,68.416667,1,264.133936,5.500000,22.000000,364.000000,1445.460000,1815.250000,1957.000000
1684703310,206,1957,60.432039,1,247.720737,5.000000,17.250000,285.950000,1246.600000,1772.200000,1957.000000
1684703400,4,1522,760.250000,11,816.984037,754.000000,1494.000000,1522.000000,1522.000000,1522.000000,1522.000000
1684703430,30,1522,325.300000,4,487.864251,39.500000,413.250000,1501.650000,1522.000000,1522.000000,1522.000000
1684703460,56,1522,180.732143,2,387.526444,11.500000,89.500000,1421.250000,1516.820000,1522.000000,1522.000000
1684703490,82,1522,126.109756,2,329.399304,8.500000,36.500000,1254.200000,1497.580000,1522.000000,1522.000000
1684703520,108,1522,105.694444,2,289.889359,8.500000,44.750000,642.850000,1471.500000,1518.670000,1522.000000
1684709640,42,2422,540.785714,4,777.345908,137.000000,652.250000,2361.250000,2422.000000,2422.000000,2422.000000
1684709670,120,2422,198.008333,2,521.806614,10.000000,41.750000,1981.900000,2349.100000,2410.660000,2422.000000
1684709700,146,2422,165.513699,2,477.942202,9.000000,37.000000,1086.650000,2325.700000,2396.620000,2422.000000
1684709730,198,2422,124.287879,1,415.899372,6.000000,27.250000,1007.100000,2221.080000,2368.540000,2422.000000
1684709760,224,2422,110.486607,1,392.767335,5.000000,23.500000,532.000000,2197.000000,2356.750000,2422.000000
1684709790,276,2422,90.568841,1,356.112381,4.000000,17.750000,522.150000,2096.160000,2333.350000,2422.000000
1684709820,302,2422,83.211921,1,341.234696,4.000000,16.250000,456.350000,1972.480000,2319.880000,2422.000000
1684709850,354,2422,71.655367,1,316.338247,4.000000,15.000000,435.750000,1086.900000,2265.800000,2422.000000
1684709880,380,2422,67.010526,1,305.778672,4.000000,14.000000,217.200000,1086.380000,2238.760000,2422.000000
1684709910,432,2422,59.444444,1,287.474460,4.000000,13.000000,144.000000,1035.180000,2204.480000,2422.000000
1684709940,458,2422,56.272926,1,279.478637,3.000000,11.000000,130.700000,1008.640000,2193.040000,2422.000000
1684709970,510,2422,50.888235,1,265.303698,3.000000,10.250000,71.800000,902.940000,2158.940000,2422.000000
1684710000,536,2422,48.593284,1,258.978234,3.000000,9.000000,70.000000,656.980000,2120.980000,2422.000000
1684710030,588,2422,44.581633,1,247.579289,3.000000,8.000000,58.050000,527.760000,2045.060000,2422.000000
1684710060,614,2422,42.825733,1,242.417017,3.000000,8.000000,49.750000,525.100000,1887.700000,2422.000000
1684710091,666,2422,39.764264,1,232.988225,3.000000,7.000000,44.600000,522.660000,1397.860000,2422.000000
1684710121,692,2422,38.540462,1,228.672308,3.000000,7.000000,46.000000,522.140000,1152.940000,2422.000000
1684710151,744,2422,36.057796,1,220.713161,3.000000,6.000000,41.000000,464.400000,1086.550000,2422.000000
1684710181,770,2422,34.924675,0,217.035439,3.000000,6.000000,41.000000,453.380000,1086.290000,2422.000000
1684710211,822,2422,32.886861,0,210.197710,2.000000,6.000000,36.850000,442.860000,1068.290000,2422.000000
1684710241,848,2422,31.965802,0,207.012009,2.000000,6.000000,35.100000,438.180000,1048.270000,2422.000000
1684710271,900,2422,30.271111,0,201.053659,2.000000,5.750000,31.900000,430.720000,1008.980000,2422.000000
